epoch,train_loss,train_acc,test_loss,test_acc
1,0.943159698598972,0.7097239813183986,0.3582996587001253,0.8814772727272727
2,0.2859053674112017,0.9065344788347747,0.2660667530009034,0.9109659090909091
3,0.15977524579250418,0.9474171795531456,0.32900869511911546,0.8988068181818182
4,0.11952551906147585,0.9598829184065227,0.12912695681892564,0.9540340909090909
5,0.08351840743219373,0.9720586125348796,0.16441501638692652,0.945
6,0.06438502499743994,0.9784791761492945,0.07118491772456102,0.9744886363636364
7,0.05137104450841434,0.982476103777879,1.6202984741922675,0.6754545454545454
8,0.04261799204545379,0.9855911470186618,0.12143191753788414,0.9611931818181818
9,0.03825872906617181,0.9875824988620847,0.10775453217516233,0.96625
10,0.03305042403854959,0.9885781747837961,0.22066298455788455,0.9467613636363637
11,0.028565264560417178,0.9905837505689576,0.08653468459970198,0.9728977272727273
12,0.023741677495423646,0.9923419534543152,0.25634046359315416,0.9299431818181818
13,0.02218282716546132,0.9924897587619481,0.05100199589716531,0.9842045454545455
14,0.019435731410868167,0.993243627674101,0.035400758414317474,0.9884659090909091
15,0.01731600101802426,0.9945039925986029,0.031620929871670055,0.9904545454545455
16,0.015970397818475854,0.9946177841325128,0.08268354846452976,0.9773295454545454
17,0.014897775447494432,0.9951638598088303,0.12376341314622401,0.9673295454545454
18,0.01452342046416987,0.9953203231679563,0.023732883106964357,0.9927840909090909
19,0.012377752049919699,0.9956561318794404,0.032891942302346024,0.989375
20,0.011966835729227139,0.9960599681383705,0.0358736688023111,0.9886363636363636
21,0.011371534243296628,0.9963159990896677,0.04508044820416821,0.9854545454545455
22,0.010101343078298072,0.9964155666818388,0.06008559550592524,0.9827272727272728
23,0.011202000938234936,0.996358670914884,0.017968089111662037,0.9946022727272728
24,0.010022455657920508,0.9968991807009558,0.05077517479184243,0.9836931818181818
25,0.010179087251468842,0.9967569412835685,0.02862220332794229,0.9917045454545454
26,0.008817113006548671,0.9971978834774693,0.03126849991276497,0.9917045454545454
27,0.008370975319772664,0.9975108101957214,0.025582891077723904,0.9922727272727273
28,0.0071929366289329305,0.9974539144287665,0.03940475617533843,0.9889204545454545
29,0.008063044082910724,0.9972263313609467,0.14340885782628104,0.96125
30,0.0059437082948738985,0.9982591132176288,0.07768806875621027,0.9810227272727273
31,0.007356779284425349,0.9977952890304961,0.030644966875379473,0.9913068181818182
32,0.005702271104535067,0.9980086481565772,0.023766090052468644,0.9925
33,0.006459905398998494,0.9978948566226673,0.07221044977531738,0.9801704545454546
34,0.005708384105665427,0.9982789030496131,0.01820154317230075,0.9943181818181818
35,0.005786886001626753,0.9981082157487483,0.023080309550096666,0.9928977272727273
36,0.006846318935137669,0.9980513199817933,0.022939804906756536,0.9932954545454545
37,0.005437993145963939,0.998392694583523,0.01683893108665253,0.9953409090909091
38,0.005864681883474602,0.9980655439235321,0.02013202175758057,0.9944886363636364
39,0.005440228657402989,0.9982789030496131,0.020621400694367426,0.9942613636363636
40,0.0050869127712070165,0.9983642467000455,0.021790325975513346,0.9946022727272728
41,0.005602441029580939,0.9981082157487483,0.5682653474047219,0.9019318181818182
42,0.003888643376059444,0.9986487255348202,0.040287411953357354,0.9895454545454545
43,0.0036289296131672517,0.998819412835685,0.026411866748478386,0.9933522727272728
44,0.0042039046143558636,0.9985633818843878,0.02542393931816171,0.9936363636363637
45,0.0037474252878740345,0.9987767410104689,0.018368393860224746,0.9947159090909091
46,0.005870717987723808,0.9982220072826582,0.015538688778799393,0.9956818181818182
47,0.003835409668922408,0.9988905325443787,0.024541024172921786,0.9935795454545454
48,0.005124943759476838,0.998392694583523,0.021189554596657494,0.9939204545454545
49,0.004369631869433384,0.9987340691852526,0.023792107522147606,0.9939772727272728
50,0.004502053118939107,0.9987482931269913,0.02660655618570496,0.9930681818181818
