epoch,train_loss,train_acc,test_loss,test_acc
1,1.4747066986580153,0.5593037752051077,0.6351791972759515,0.807451649601819
2,0.4677272555555038,0.8484253597773578,0.7213892025926443,0.7883390216154728
3,0.28800373632456383,0.9060919022936864,0.2090194253246027,0.9336177474402734
4,0.20743911072043086,0.9333079859710184,0.1313329267834686,0.9562002275312874
5,0.16211897910612594,0.9473072307230807,0.1413654008508529,0.9583617747440284
6,0.13438226357270172,0.9556291836080275,0.10514250118621822,0.9652445961319698
7,0.1127688280517255,0.9629967307075634,0.11030518071651682,0.9617747440273061
8,0.09583779395138677,0.9680351655855348,0.09458301742959327,0.9697383390216187
9,0.0851528616223105,0.9722304126964502,0.21610832326358476,0.9389647326507419
10,0.07395043586363066,0.9753884871245814,0.133526786793932,0.9564846416382266
11,0.06899549056685712,0.9770399453738561,0.06483407383790181,0.9800910125142224
12,0.0621464527431903,0.9789746216000986,0.10241434675025149,0.9686575654152456
13,0.058828801940499005,0.9807243655400095,0.056513095744869554,0.9831626848691711
14,0.053663021792153646,0.9820188915443346,0.06806442227827596,0.9781001137656447
15,0.0513142921462219,0.9828012973711234,0.06501068563530672,0.9797497155858955
16,0.0480955275880996,0.9842807556617789,0.04817480484338986,0.9850967007963608
17,0.04550204311177289,0.9848497780812633,0.037094540995498006,0.9893629124004572
18,0.040789412814520004,0.9864857175372767,0.058157317939871424,0.981114903299205
19,0.04118854624209784,0.9864430408558156,0.05058624603364662,0.9855517633674649
20,0.039801170901648544,0.987182770001144,0.25346181212480934,0.9379408418657583
21,0.03661722871846177,0.9879082735859829,0.09310285621439082,0.9745164960182041
22,0.034534610714137236,0.9887475816547241,0.10918475974063009,0.9747440273037572
23,0.03418238821578191,0.9888756116991051,0.05344320222227308,0.9851535836177489
24,0.03514375860925314,0.9885199726869316,0.038416091109382426,0.986803185438
25,0.029335882862216438,0.9906111300785309,0.03185206013219687,0.991126279863482
26,0.03055132071245082,0.9900563332195327,0.048969017398426996,0.9858930602957917
27,0.029799327039803477,0.9903835211107348,0.04295036095414218,0.9880546075085348
28,0.027845060153148807,0.9907818368043729,0.027509855932965465,0.9916382252559746
29,0.027601370473318138,0.99085296460681,0.04083472710900107,0.9879408418657595
30,0.027312317155114813,0.9913650847843446,0.040131697365627175,0.9887940841865781
