epoch,train_loss,train_acc,test_loss,test_acc
1,1.2671098543206398,0.6291768914131919,0.6691587041716329,0.7886931818181818
2,0.44682743934553465,0.8586622720259525,0.390424827280539,0.871875
3,0.32480419669181676,0.8980638277881077,0.3863127581779928,0.881534090909091
4,0.24614611364480743,0.9205478300431221,1.5819959843833864,0.6457512626262627
5,0.20473668640572662,0.9341570399968351,0.22458494845571048,0.9288068181818182
6,0.18232184938164436,0.9416941537761602,0.21580073952656345,0.9296022727272727
7,0.1591664106124085,0.948461669699727,0.2270267687212382,0.9294318181818182
8,0.1395916000256032,0.9546808857854966,0.4449829997723943,0.86875
9,0.12681925928582852,0.9594406476243226,0.33557898153381593,0.8997853535353536
10,0.11294664131152063,0.963026540926534,0.15406601291774594,0.9496022727272727
11,0.10703710551471962,0.9643092040194643,0.14905329957048127,0.9526136363636364
12,0.09715548805867892,0.9676107479131226,0.4383630636097792,0.883465909090909
13,0.08885492697791167,0.9699504490248051,0.1327372553225071,0.9585795454545455
14,0.08210946020443124,0.972861939708035,0.12597453248187682,0.9611931818181818
15,0.0779990458790445,0.9746483957748151,0.152222110854858,0.9521022727272728
16,0.07247750322939107,0.9769516259840962,0.10972472618214521,0.9650568181818182
17,0.07330318891399988,0.9760009099181074,0.09391872964703493,0.9713068181818182
18,0.06408461227026209,0.9783356658226847,0.08983424828952676,0.9713636363636363
19,0.06032781708089201,0.9804936305732485,0.13695154281291416,0.96
20,0.05641761633330868,0.9816310282074613,0.7937368613303178,0.8389204545454545
21,0.05973642313890193,0.9810227677335127,0.11311946618317331,0.9678977272727273
22,0.05534972850715503,0.9817336412548958,0.7451809871810309,0.850625
23,0.052442862986817065,0.9825125113739763,0.23060304314484795,0.9369886363636364
24,0.04726910251156203,0.9843274023816116,0.10977642617079937,0.9697727272727272
25,0.047153928576654215,0.9845122294971713,0.14866839592483735,0.9559659090909091
26,0.046883192048266145,0.9847681439648692,0.07862788465277762,0.9757954545454546
27,0.04509698202665849,0.9857003155042133,0.1587626173775264,0.9575568181818181
28,0.042900656637248076,0.9866133243660243,0.6750399549357152,0.8573863636363637
29,0.040226062572886086,0.9862721050757605,0.06871925448852433,0.9788636363636364
30,0.0399227346418306,0.987562804130237,0.12968661506392065,0.9648295454545455
